Sample in Buffer,Sample in Window,TRIGGER,design_1_i/system_ila_0/U0/probe0_1,design_1_i/system_ila_0/U0/net_slot_0_axis_tdata[31:0],design_1_i/system_ila_0/U0/net_slot_0_axis_tstrb[3:0],design_1_i/system_ila_0/U0/net_slot_0_axis_tvalid,design_1_i/system_ila_0/U0/net_slot_0_axis_tready,design_1_i/system_ila_0/U0/net_slot_0_axis_tlast,design_1_i/system_ila_0/U0/net_slot_1_axis_tdata[31:0],design_1_i/system_ila_0/U0/net_slot_1_axis_tkeep[3:0],design_1_i/system_ila_0/U0/net_slot_1_axis_tvalid,design_1_i/system_ila_0/U0/net_slot_1_axis_tready,design_1_i/system_ila_0/U0/net_slot_1_axis_tlast,Interface_(i1:s0)_(AXIS_S2M_0_M00_AXIS)[2:0],Interface_(i1:s1)_(axi_dma_0_M_AXIS_MM2S)[2:0],T_Channel_(i1:s0)_(AXIS_S2M_0_M00_AXIS)[2:0],T_Channel_(i1:s1)_(axi_dma_0_M_AXIS_MM2S)[2:0]
0,0,0,0,00000000000000000000000000000001,f,0,1,0,00000000,0,0,0,0,"_","Inactive","_","No Streams"
1,1,1,0,00111110011110110010100101100000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
2,2,0,0,00111110100100010111010010100000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
3,3,0,0,00111110100010101111101000000000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
4,4,0,0,00111110011110010111011010100000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
5,5,0,0,00111110011010000101110101000000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
6,6,0,0,00111110010101101100110011000000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
7,7,0,0,00111110010000010011011011100000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
8,8,0,0,00111110001100011000110011100000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
9,9,0,0,00111110001001000101100101100000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
10,10,0,0,00111110001000011100011110000000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
11,11,0,0,00111110001010111000101000100000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
12,12,0,0,00111110001111011101000100000000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
13,13,0,0,00111110011001010001101001000000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
14,14,0,0,00111110100110101100110001100000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
15,15,0,0,00111110101111001111001011100000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
16,16,0,0,00111110110010101110111010000000,f,1,0,0,00000000,0,0,0,0,"_","Inactive","_","No Streams"
17,17,0,0,00111110110010101110111010000000,f,1,0,0,00000000,0,0,0,0,"_","Inactive","_","No Streams"
18,18,0,0,00111110110010101110111010000000,f,1,0,0,00000000,0,0,0,0,"_","Inactive","_","No Streams"
19,19,0,0,00111110110010101110111010000000,f,1,0,0,00000000,0,0,0,0,"_","Inactive","_","No Streams"
20,20,0,0,00111110110010101110111010000000,f,1,0,0,00000000,0,0,0,0,"_","Inactive","_","No Streams"
21,21,0,0,00111110110010101110111010000000,f,1,0,0,00000000,0,0,0,0,"_","Inactive","_","No Streams"
22,22,0,0,00111110110010101110111010000000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
23,23,0,0,00111110101100000011001101100000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
24,24,0,0,00111110100010110001000001000000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
25,25,0,0,00111110001101110101100010000000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
26,26,0,0,00111101111000011111111001000000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
27,27,0,0,00111101100000011011000010000000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
28,28,0,0,00111101010111101110001111000000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
29,29,0,0,00111101101010000111001001100000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
30,30,0,0,00111110000010011000101000100000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
31,31,0,0,00111110001101110011100111100000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
32,32,0,0,00111110011001111100101110100000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
33,33,0,0,00111110100101010000100110000000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
34,34,0,0,00111110101001000111011100100000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
35,35,0,0,00111110100111111100100100000000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
36,36,0,0,00111110010010110001101000000000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
37,37,0,0,00111110011100011101000110100000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
38,38,0,0,00111110011101111001111010000000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
39,39,0,0,00111110011111001101001001000000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
40,40,0,0,00111110100000111111000000100000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
41,41,0,0,00111110100001111011101101100000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
42,42,0,0,00111110100011000100110101000000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
43,43,0,0,00111110100011000101111000000000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
44,44,0,0,00111110100001111111101111000000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
45,45,0,0,00111110100000011010101010000000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
46,46,0,0,00111110011101100000101101000000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
47,47,0,0,00111110011001001111011001100000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
48,48,0,0,00111110010100111001001110100000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
49,49,0,0,00111110001101010101111010000000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
50,50,0,0,00111110000011111100010011100000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
51,51,0,0,00111101101111001100111011100000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
52,52,0,0,00111101001000101110110010000000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
53,53,0,0,00000000000000000000000000000000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
54,54,0,0,00000000000000000000000000000000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
55,55,0,0,00000000000000000000000000000000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
56,56,0,0,00000000000000000000000000000000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
57,57,0,0,00000000000000000000000000000000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
58,58,0,0,00000000000000000000000000000000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
59,59,0,0,00000000000000000000000000000000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
60,60,0,0,00000000000000000000000000000000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
61,61,0,0,00000000000000000000000000000000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
62,62,0,0,00111101001001010101110111100000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
63,63,0,0,00111101110001110011101010000000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
64,64,0,0,00111110000101001011110111100000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
65,65,0,0,00111110000111011100101011000000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
66,66,0,0,00111101100101011001010010000000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
67,67,0,0,00111110101110000101000100100000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
68,68,0,0,00111110111011000101001101000000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
69,69,0,0,00111110110101100010100010100000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
70,70,0,0,00111110101101011111101010000000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
71,71,0,0,00111110101010000000011100100000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
72,72,0,0,00111110101000000110010101000000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
73,73,0,0,00111110100110001001101000000000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
74,74,0,0,00111110100010111110000110100000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
75,75,0,0,00111110011110100000110100100000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
76,76,0,0,00111110011000100010010000100000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
77,77,0,0,00111110010011011010110100000000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
78,78,0,0,00111110010000001110100011000000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
79,79,0,0,00111110010010011001110010100000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
80,80,0,0,00111110100000110101000111000000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
81,81,0,0,00111110101011011010011000000000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
82,82,0,0,00111110110100101100101111100000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
83,83,0,0,00111110110101110111110001000000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
84,84,0,0,00111110101101111101000001000000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
85,85,0,0,00111110100011010101011111100000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
86,86,0,0,00111110010001100000010101000000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
87,87,0,0,00111110000011111111101101100000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
88,88,0,0,00111110000101000000000001100000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
89,89,0,0,00111110010001001011001000100000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
90,90,0,0,00111110100001110011101010000000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
91,91,0,0,00111110101100000111100001000000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
92,92,0,0,00111110111000111000011111000000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
93,93,0,0,00111111000001100001100010100000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
94,94,0,0,00111111000101001011110101000000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
95,95,0,0,00111111000010100110110110000000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
96,96,0,0,00111110100011101110010101000000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
97,97,0,0,00111110001001101101101010000000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
98,98,0,0,00111110010000101111011101000000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
99,99,0,0,00111110000110110010110110000000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
100,100,0,0,00111101111110100010001110000000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
101,101,0,0,00111101110111000110101010100000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
102,102,0,0,00111101110100010011000110100000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
103,103,0,0,00111101101000101101001010000000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
104,104,0,0,00111101011011111110111101100000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
105,105,0,0,00111101001110011000011100000000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
106,106,0,0,00111101001100110110010001000000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
107,107,0,0,00111101011100110001001101100000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
108,108,0,0,00111101100110100010011100100000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
109,109,0,0,00111101110111010110110011000000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
110,110,0,0,00111110001111000100111111000000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
111,111,0,0,00111110100001001111011001000000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
112,112,0,0,00111110101001001100101011100000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
113,113,0,0,00111110101111000101100101000000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
114,114,0,0,00111110101111100001111111000000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
115,115,0,0,00111110101100000101101100000000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
116,116,0,0,00111110100101010110010000100000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
117,117,0,0,00111110100001000100000111000000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
118,118,0,0,00111110100000111101011111000000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
119,119,0,0,00111110100101000100011001000000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
120,120,0,0,00111110101010001110010001100000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
121,121,0,0,00111110101110110011000010000000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
122,122,0,0,00111110110010101011010001000000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
123,123,0,0,00111110110010100101000000000000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
124,124,0,0,00111110110000000011100010100000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
125,125,0,0,00111110101010111111110111100000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
126,126,0,0,00111110010111100011001010000000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
127,127,0,0,00111110011000001111100000100000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
128,128,0,0,00111110101010101111001101100000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
129,129,0,0,00111110101011110010010101000000,f,1,1,0,00000000,0,0,0,0,"Active","Inactive","Stream Beat","No Streams"
