Sample in Buffer,Sample in Window,TRIGGER,s_start_conv3,sready_conv3_1,s_out_conv3tb[26:0]
0,0,0,1,0,000000000000000000000000000
1,1,0,1,0,000000000000000000000000000
2,2,0,1,0,000000000000000000000000000
3,3,0,1,0,000000000000000000000000000
4,4,0,1,0,000000000000000000000000000
5,5,0,1,0,000000000000000000000000000
6,6,0,1,0,000000000000000000000000000
7,7,0,1,0,000000000000000000000000000
8,8,0,1,0,000000000000000000000000000
9,9,0,1,0,000000000000000000000000000
10,10,0,1,0,000000000000000000000000000
11,11,0,1,0,000000000000000000000000000
12,12,0,1,0,000000000000000000000000000
13,13,0,1,0,000000000000000000000000000
14,14,0,1,0,000000000000000000000000000
15,15,0,1,0,000000000000000000000000000
16,16,0,1,0,000000000000000000000000000
17,17,0,1,0,000000000000000000000000000
18,18,0,1,0,000000000000000000000000000
19,19,0,1,0,000000000000000000000000000
20,20,1,1,1,001111100101100100110000011
21,21,0,1,1,001111100110101010101110011
22,22,0,1,1,001111100101001000101011110
23,23,0,1,1,001111100100111001101001100
24,24,0,1,1,001111100100011101111011110
25,25,0,1,1,001111100011111011110110100
26,26,0,1,1,001111100011001110011111001
27,27,0,1,1,001111100010110001011011110
28,28,0,1,1,001111100010110000101101110
29,29,0,1,1,001111100010111000100010010
30,30,0,1,1,001111100100010001110100010
31,31,0,1,1,001111100101101111100001111
32,32,0,1,1,001111100111101011000001000
33,33,0,1,1,001111101000111100101000001
34,34,0,1,1,001111101010001001011000011
35,35,0,1,1,001111101010111101110000001
36,36,0,1,1,001111101011000101011000110
37,37,0,1,1,001111101010001011110000101
38,38,0,1,1,001111101001011011101000100
39,39,0,1,1,001111101000010111010110111
40,40,0,1,1,001111100111110011100110000
41,41,0,1,1,001111101000000000011000011
42,42,0,1,1,001111101000110110110101101
43,43,0,1,1,001111101001001000101010001
44,44,0,1,1,001111101001101001100111001
45,45,0,1,1,001111101010010001001111110
46,46,0,1,1,001111101010100001110001011
47,47,0,1,1,001111101010000011000001011
48,48,0,1,1,001111100100110001000011001
49,49,0,1,1,001111011101000101110001101
50,50,0,1,1,001111011000001001011001011
51,51,0,1,1,000000000000000000000000000
52,52,0,1,1,000000000000000000000000000
53,53,0,1,1,000000000000000000000000000
54,54,0,1,1,001111000001101110100001010
55,55,0,1,1,001111001011011111010100010
56,56,0,1,1,001111000111110100111010000
57,57,0,1,1,001110110111000001110010000
58,58,0,1,1,001110001010000011100000000
59,59,0,1,1,001110110101111011101100000
60,60,0,1,1,001111001011010010101001000
61,61,0,1,1,001111001111101011100011111
62,62,0,1,1,001111010011010010001111001
63,63,0,1,1,001111011000010001111010100
64,64,0,1,1,001111011001001101001111111
65,65,0,1,1,001111010000100101101010010
66,66,0,1,1,000000000000000000000000000
67,67,0,1,1,000000000000000000000000000
68,68,0,1,1,000000000000000000000000000
69,69,0,1,1,000000000000000000000000000
70,70,0,1,1,000000000000000000000000000
71,71,0,1,1,000000000000000000000000000
72,72,0,1,1,000000000000000000000000000
73,73,0,1,1,000000000000000000000000000
74,74,0,1,1,000000000000000000000000000
75,75,0,1,1,000000000000000000000000000
76,76,0,1,1,000000000000000000000000000
77,77,0,1,1,000000000000000000000000000
78,78,0,1,1,001111000001100110111010010
79,79,0,1,1,000000000000000000000000000
80,80,0,1,1,000000000000000000000000000
81,81,0,1,1,000000000000000000000000000
82,82,0,1,1,000000000000000000000000000
83,83,0,1,1,000000000000000000000000000
84,84,0,1,1,000000000000000000000000000
85,85,0,1,1,000000000000000000000000000
86,86,0,1,1,000000000000000000000000000
87,87,0,1,1,000000000000000000000000000
88,88,0,1,1,000000000000000000000000000
89,89,0,1,1,000000000000000000000000000
90,90,0,1,1,000000000000000000000000000
91,91,0,1,1,000000000000000000000000000
92,92,0,1,1,000000000000000000000000000
93,93,0,1,1,000000000000000000000000000
94,94,0,1,1,000000000000000000000000000
95,95,0,1,1,000000000000000000000000000
96,96,0,1,1,000000000000000000000000000
97,97,0,1,1,000000000000000000000000000
98,98,0,1,1,000000000000000000000000000
99,99,0,1,1,000000000000000000000000000
100,100,0,1,1,000000000000000000000000000
101,101,0,1,1,000000000000000000000000000
102,102,0,1,1,000000000000000000000000000
103,103,0,1,1,000000000000000000000000000
104,104,0,1,1,000000000000000000000000000
105,105,0,1,1,000000000000000000000000000
106,106,0,1,1,000000000000000000000000000
107,107,0,1,1,000000000000000000000000000
108,108,0,1,1,000000000000000000000000000
109,109,0,1,1,000000000000000000000000000
110,110,0,1,1,001111100000010001111111111
111,111,0,1,1,001111100001000100010100111
112,112,0,1,1,001111100010011100000100100
113,113,0,1,1,001111100010001011110110100
114,114,0,1,1,001111100001001111111110000
115,115,0,1,1,001111100000110010100010110
116,116,0,1,1,001111100000100101001110011
117,117,0,1,1,001111100000011000111010100
118,118,0,1,1,001111100000010000110100100
119,119,0,1,1,001111100000100000000001101
120,120,0,1,1,001111100000101000001101011
121,121,0,1,1,001111100000111110100010000
122,122,0,1,1,001111100001010010011110010
123,123,0,1,1,001111100000111110101111110
124,124,0,1,1,001111100010000110110010111
125,125,0,1,1,001111100010010011100110011
126,126,0,1,1,001111100001011000001100000
127,127,0,1,1,001111100000001010001101111
128,128,0,1,1,001111011101001100011011011
129,129,0,1,1,001111011010011011100000001
130,130,0,1,1,001111011000100010000000011
131,131,0,1,1,001111010110011111111101110
132,132,0,1,1,001111010110000110100001010
133,133,0,1,1,001111011001000011000111101
134,134,0,1,1,001111011011011010111001110
135,135,0,1,1,001111011110110110101010110
136,136,0,1,1,001111100000101011111011101
137,137,0,1,1,001111100010100101000100000
138,138,0,1,1,001111100001101110001000111
139,139,0,1,1,001111001001010111010010111
140,140,0,1,1,000000000000000000000000000
141,141,0,1,1,000000000000000000000000000
142,142,0,1,1,000000000000000000000000000
143,143,0,1,1,000000000000000000000000000
144,144,0,1,1,000000000000000000000000000
145,145,0,1,1,000000000000000000000000000
146,146,0,1,1,000000000000000000000000000
147,147,0,1,1,000000000000000000000000000
148,148,0,1,1,000000000000000000000000000
149,149,0,1,1,000000000000000000000000000
150,150,0,1,1,000000000000000000000000000
151,151,0,1,1,000000000000000000000000000
152,152,0,1,1,000000000000000000000000000
153,153,0,1,1,000000000000000000000000000
154,154,0,1,1,000000000000000000000000000
155,155,0,1,1,000000000000000000000000000
156,156,0,1,1,000000000000000000000000000
157,157,0,1,1,000000000000000000000000000
158,158,0,1,1,000000000000000000000000000
159,159,0,1,1,000000000000000000000000000
160,160,0,1,1,000000000000000000000000000
161,161,0,1,1,000000000000000000000000000
162,162,0,1,1,000000000000000000000000000
163,163,0,1,1,000000000000000000000000000
164,164,0,1,1,000000000000000000000000000
165,165,0,1,1,000000000000000000000000000
166,166,0,1,1,000000000000000000000000000
167,167,0,1,1,000000000000000000000000000
168,168,0,1,1,000000000000000000000000000
169,169,0,1,1,000000000000000000000000000
170,170,0,1,1,001111101100001010001101111
171,171,0,1,1,001111101100110101010000001
172,172,0,1,1,001111101100000000100000010
173,173,0,1,1,001111101010101011100101100
174,174,0,1,1,001111101010010110101000001
175,175,0,1,1,001111101001111001110111101
176,176,0,1,1,001111101001010001111111101
177,177,0,1,1,001111101000101101100110011
178,178,0,1,1,001111100111100010000111111
179,179,0,1,1,001111100101001100001100001
180,180,0,1,1,001111100011010100101010001
181,181,0,1,1,001111100001111001101000010
182,182,0,1,1,001111100001001000101000010
183,183,0,1,1,001111100001101100001001001
184,184,0,1,1,001111100100000010101111100
185,185,0,1,1,001111100110100010010010111
186,186,0,1,1,001111100111011001000011011
187,187,0,1,1,001111100110101010000111111
188,188,0,1,1,001111100100001010101100101
189,189,0,1,1,001111100001111100011000110
190,190,0,1,1,001111100000110111011110010
191,191,0,1,1,001111100001110000101100001
192,192,0,1,1,001111100100100000101011101
193,193,0,1,1,001111101000011000111111100
194,194,0,1,1,001111101010000001011101100
195,195,0,1,1,001111101011110110111011100
196,196,0,1,1,001111101101011111101100110
197,197,0,1,1,001111101101011111001011010
198,198,0,1,1,001111100110001100011110000
199,199,0,1,1,001111001100110100001011101
200,200,0,1,1,001111100111110001111001010
201,201,0,1,1,001111101100001100010000110
202,202,0,1,1,001111101011100001001010101
203,203,0,1,1,001111101010101011110001011
204,204,0,1,1,001111101001111001011001110
205,205,0,1,1,001111101001100010111001110
206,206,0,1,1,001111101001010101000111111
207,207,0,1,1,001111101000111011111001010
208,208,0,1,1,001111101000110000001001110
209,209,0,1,1,001111101000101111000100000
210,210,0,1,1,001111101000111101010111010
211,211,0,1,1,001111101001001001110101000
212,212,0,1,1,001111101001100000101000011
213,213,0,1,1,001111101011001011001111010
214,214,0,1,1,001111101100111011110000001
215,215,0,1,1,001111101110000011000001100
216,216,0,1,1,001111101101011111000001101
217,217,0,1,1,001111101011000001000110000
218,218,0,1,1,001111101000010010110011101
219,219,0,1,1,001111100010010000001001001
220,220,0,1,1,001111011100010000100100111
221,221,0,1,1,001111011010011100010010101
222,222,0,1,1,001111011100111100011011111
223,223,0,1,1,001111100001000101111000111
224,224,0,1,1,001111100101100011001100011
225,225,0,1,1,001111101001010010110001001
226,226,0,1,1,001111101011011101111000011
227,227,0,1,1,001111101101100001101011111
228,228,0,1,1,001111101010010100101011010
229,229,0,1,1,001111100011110100001101010
230,230,0,1,1,001111011110100011010000010
231,231,0,1,1,001111100001010011001101010
232,232,0,1,1,001111100100001111011100000
233,233,0,1,1,001111100110111111001110111
234,234,0,1,1,001111101000001111000010100
235,235,0,1,1,001111101000110100101011101
236,236,0,1,1,001111101001001001010010100
237,237,0,1,1,001111101001010100110001101
238,238,0,1,1,001111101001001000001100101
239,239,0,1,1,001111101000111011000100110
240,240,0,1,1,001111101000110000000101001
241,241,0,1,1,001111101000010000001000000
242,242,0,1,1,001111100110101001101101101
243,243,0,1,1,001111100010111111110110001
244,244,0,1,1,001111011011111101100010000
245,245,0,1,1,001110100100101111001100000
246,246,0,1,1,000000000000000000000000000
247,247,0,1,1,000000000000000000000000000
248,248,0,1,1,000000000000000000000000000
249,249,0,1,1,000000000000000000000000000
250,250,0,1,1,000000000000000000000000000
251,251,0,1,1,000000000000000000000000000
252,252,0,1,1,000000000000000000000000000
253,253,0,1,1,000000000000000000000000000
254,254,0,1,1,000000000000000000000000000
255,255,0,1,1,000000000000000000000000000
256,256,0,1,1,000000000000000000000000000
257,257,0,1,1,000000000000000000000000000
258,258,0,1,1,000000000000000000000000000
259,259,0,1,1,000000000000000000000000000
260,260,0,1,1,000000000000000000000000000
261,261,0,1,1,000000000000000000000000000
262,262,0,1,1,000000000000000000000000000
263,263,0,1,1,000000000000000000000000000
264,264,0,1,1,000000000000000000000000000
265,265,0,1,1,000000000000000000000000000
266,266,0,1,1,000000000000000000000000000
267,267,0,1,1,000000000000000000000000000
268,268,0,1,1,000000000000000000000000000
269,269,0,1,1,000000000000000000000000000
270,270,0,1,1,000000000000000000000000000
271,271,0,1,1,000000000000000000000000000
272,272,0,1,1,000000000000000000000000000
273,273,0,1,1,000000000000000000000000000
274,274,0,1,1,000000000000000000000000000
275,275,0,1,1,000000000000000000000000000
276,276,0,1,1,000000000000000000000000000
277,277,0,1,1,001111000110000100110110000
278,278,0,1,1,001111010110011000001110110
279,279,0,1,1,001111011010010011101101011
280,280,0,1,1,001111011101000000100001010
281,281,0,1,1,001111011101010111100000000
282,282,0,1,1,001111011001110011110011110
283,283,0,1,1,001111001011001111001111110
284,284,0,1,1,000000000000000000000000000
285,285,0,1,1,000000000000000000000000000
286,286,0,1,1,000000000000000000000000000
287,287,0,1,1,000000000000000000000000000
288,288,0,1,1,000000000000000000000000000
289,289,0,1,1,000000000000000000000000000
290,290,0,1,1,000000000000000000000000000
291,291,0,1,1,001111011101011001000100010
292,292,0,1,1,001111100010010100100011011
293,293,0,1,1,001111100100000011000010101
294,294,0,1,1,001111100100000001010111111
295,295,0,1,1,001111100100101000010101110
296,296,0,1,1,001111100101011001111111000
297,297,0,1,1,001111100110011101000011001
298,298,0,1,1,001111100110110001011111000
299,299,0,1,1,001111100110101101001001011
300,300,0,1,1,001111100110001001011010001
301,301,0,1,1,001111100101001100010011110
302,302,0,1,1,001111100010111100001001010
303,303,0,1,1,001111011110001001101101110
304,304,0,1,1,001111010001100010011010111
305,305,0,1,1,000000000000000000000000000
